pos_error_t-0.000,pos_error_t-0.010,pos_error_t-0.020,velocity_t-0.000,velocity_t-0.010,velocity_t-0.020,torque
0.3234526515007019,0.2774468660354614,0.2290197014808654,6.259484767913818,5.237135410308838,4.637578964233398,-0.011938384734094101
0.2774468660354614,0.2290197014808654,0.1911969184875488,5.237135410308838,4.637578964233398,3.73466420173645,0.0073906467296183
0.2290197014808654,0.1911969184875488,0.1589066386222839,4.637578964233398,3.73466420173645,2.6943607330322266,0.0219502355903387
0.1911969184875488,0.1589066386222839,0.13192522525787354,3.73466420173645,2.6943607330322266,2.667247772216797,-0.0055230353027582
0.1589066386222839,0.13192522525787354,0.1115086674690246,2.6943607330322266,2.667247772216797,1.888786792755127,0.0424259714782238
0.13192522525787354,0.1115086674690246,0.0939735174179077,2.667247772216797,1.888786792755127,1.5492854118347168,0.0438373759388923
0.1115086674690246,0.0939735174179077,0.0791460275650024,1.888786792755127,1.5492854118347168,1.3338289260864258,0.0266454890370368
0.0939735174179077,0.0791460275650024,0.0670053958892822,1.5492854118347168,1.3338289260864258,1.0406324863433838,0.028688067570328702
0.0791460275650024,0.0670053958892822,0.05634433031082149,1.3338289260864258,1.0406324863433838,1.0000044107437134,0.0062081268988549
0.0670053958892822,0.05634433031082149,0.0480836033821105,1.0406324863433838,1.0000044107437134,0.9144493937492372,0.0089028347283601
0.05634433031082149,0.0480836033821105,0.0419647097587585,1.0000044107437134,0.9144493937492372,0.6515780091285706,0.027452677488327
0.0480836033821105,0.0419647097587585,0.0362375415861606,0.9144493937492372,0.6515780091285706,0.4798099994659424,0.0348536036908626
0.0419647097587585,0.0362375415861606,0.0323175080120563,0.6515780091285706,0.4798099994659424,0.3595006167888641,0.0392399691045284
0.0362375415861606,0.0323175080120563,0.028774194419384,0.4798099994659424,0.3595006167888641,0.3558056354522705,0.0324932634830474
0.0323175080120563,0.028774194419384,0.0253902599215507,0.3595006167888641,0.3558056354522705,0.3038249611854553,0.0258921105414628
0.028774194419384,0.0253902599215507,0.0229147374629974,0.3558056354522705,0.3038249611854553,0.2139634639024734,0.03665462508797641
0.0253902599215507,0.0229147374629974,0.021160839125514,0.3038249611854553,0.2139634639024734,0.1708557903766632,0.0382191911339759
0.0229147374629974,0.021160839125514,0.019630067050457,0.2139634639024734,0.1708557903766632,0.1644918173551559,0.0329806394875049
0.021160839125514,0.019630067050457,0.0180619359016418,0.1708557903766632,0.1644918173551559,0.1707917749881744,0.0280120223760604
0.019630067050457,0.0180619359016418,0.0162593871355056,0.1644918173551559,0.1707917749881744,0.1860621869564056,0.0206773485988378
0.0180619359016418,0.0162593871355056,0.0147253666073083,0.1707917749881744,0.1860621869564056,0.1614179611206054,0.0197118539363145
0.0162593871355056,0.0147253666073083,0.0134987086057662,0.1860621869564056,0.1614179611206054,0.1040359362959861,0.027920352295041
0.0147253666073083,0.0134987086057662,0.0126378145068883,0.1614179611206054,0.1040359362959861,0.0726273208856582,0.0281438864767551
0.0134987086057662,0.0126378145068883,0.0120120756328105,0.1040359362959861,0.0726273208856582,0.0493945218622684,0.031037425622344
0.0126378145068883,0.0120120756328105,0.011543845757842,0.0726273208856582,0.0493945218622684,0.0409644171595573,0.0328761413693428
0.0120120756328105,0.011543845757842,0.011221308261156,0.0493945218622684,0.0409644171595573,0.019962605088949197,0.038813535124063395
0.011543845757842,0.011221308261156,0.0109777823090553,0.0409644171595573,0.019962605088949197,0.0149975009262561,0.0402631647884845
0.011221308261156,0.0109777823090553,0.0107529629021883,0.019962605088949197,0.0149975009262561,0.030527539551258004,0.0371680930256843
0.0109777823090553,0.0107529629021883,0.0105846468359231,0.0149975009262561,0.030527539551258004,0.021790338680148104,0.0425415188074111
0.0107529629021883,0.0105846468359231,0.0103700887411832,0.030527539551258004,0.021790338680148104,0.0182401370257139,0.0361960977315902
0.0105846468359231,0.0103700887411832,0.0101855248212814,0.021790338680148104,0.0182401370257139,0.0153181124478578,0.03709914907813071
0.0103700887411832,0.0101855248212814,0.010004099458456,0.0182401370257139,0.0153181124478578,0.009743221104145,0.0389397107064724
0.0101855248212814,0.010004099458456,0.0098823606967926,0.0153181124478578,0.009743221104145,0.0143346413969993,0.036638181656599
0.010004099458456,0.0098823606967926,0.0097095184028148,0.009743221104145,0.0143346413969993,0.0234732441604137,0.0349971987307071
0.0098823606967926,0.0097095184028148,0.0095632821321487,0.0143346413969993,0.0234732441604137,0.0215603075921535,0.0337712839245796
0.0097095184028148,0.0095632821321487,0.0093993060290813,0.0234732441604137,0.0215603075921535,0.0214848704636096,0.0345226153731346
0.0095632821321487,0.0093993060290813,0.0092440508306026,0.0215603075921535,0.0214848704636096,0.0236581172794103,0.0366275869309902
0.0093993060290813,0.0092440508306026,0.0090890489518642,0.0214848704636096,0.0236581172794103,0.008978147059679,0.034484788775444
0.0092440508306026,0.0090890489518642,0.0089099258184432,0.0236581172794103,0.008978147059679,0.0242099277675151,0.0360526405274868
0.0090890489518642,0.0089099258184432,0.0087202303111553,0.008978147059679,0.0242099277675151,0.0133204385638237,0.0339573733508586
0.0089099258184432,0.0087202303111553,0.0085294283926486,0.0242099277675151,0.0133204385638237,0.0148184746503829,0.0372327007353305
0.0087202303111553,0.0085294283926486,0.008312687277793801,0.0133204385638237,0.0148184746503829,0.029670745134353603,0.0352956242859363
0.0085294283926486,0.008312687277793801,0.008095558732748,0.0148184746503829,0.029670745134353603,0.022644383832812302,0.0319635048508644
0.008312687277793801,0.008095558732748,0.0078133083879947,0.029670745134353603,0.022644383832812302,0.031451903283596,0.0305952560156583
